date,FIN,EN,IT,HC,IND,CD,CS,MAT,UTIL,RE,TEL,SPX
2005-01-26,0.0047344865,0.0097643996,0.0102047024,0.0061390808,0.0020198864,0.0053779217,-0.0008633859,0.0017662756,0.0145191613,0.0015799002,0.0044275353,0.0048441146
2005-01-27,-0.0050484703,0.0088637773,-0.0010099856,-0.0020338741,0.0026881058,-0.0020799601,0.0056162812,0.0052909877,0.0050087235,-0.0105169765,-0.0068993363,0.0004089216
2005-01-28,-0.0013534640,-0.0119809696,0.0000000000,-0.0081520769,-0.0010055412,-0.0047647800,0.0004290081,-0.0010524785,0.0010682733,0.0046056777,-0.0044385257,-0.0027159877
2005-01-31,0.0118566610,0.0118567143,0.0070774882,0.0017126686,0.0130832716,0.0107715613,0.0025759526,0.0122933146,0.0113795410,-0.0063484142,0.0052336221,0.0084602806
2005-02-01,0.0107131045,0.0170437206,0.0060243481,0.0095719371,0.0029799993,0.0008885485,0.0004285081,0.0083272917,0.0066807383,0.0149954475,0.0102196388,0.0068909009
2005-02-02,0.0000000000,0.0138779310,0.0004989450,0.0040638957,0.0000000000,0.0029578026,0.0081332397,0.0103239628,0.0038419150,0.0114529091,0.0085893161,0.0031779682
2005-02-03,-0.0046378521,0.0049070390,-0.0064839825,-0.0030353308,-0.0029711453,-0.0020644511,-0.0016979178,-0.0057901435,0.0027840696,-0.0030250490,-0.0020817173,-0.0027656341
2005-02-04,0.0119805135,0.0035981758,0.0170683920,0.0091340878,0.0082780708,0.0091609059,0.0055291436,0.0113055784,0.0097149765,0.0143036088,0.0155514610,0.0110430498
2005-02-07,0.0009864875,-0.0066581631,-0.0029615931,0.0006701205,-0.0006570569,0.0026351624,-0.0021149869,-0.0003388415,-0.0020616382,-0.0022219644,-0.0029882861,-0.0010889658
2005-02-08,-0.0039421796,0.0072185230,0.0049504859,0.0023452304,0.0055868672,-0.0023361055,0.0012723746,0.0000000000,0.0058535705,0.0023131381,0.0000000000,0.0004827066
2005-02-09,-0.0026383032,-0.0017914952,-0.0172408872,-0.0106953658,-0.0104575382,-0.0111247207,-0.0088912794,-0.0138937027,-0.0058195056,0.0058964794,0.0000000000,-0.0085752792
2005-02-10,0.0029758009,0.0274354107,0.0020047830,0.0016893394,0.0046234232,0.0041448679,-0.0004269110,0.0134020979,0.0010327770,0.0035685611,-0.0224759829,0.0042114612
2005-02-11,0.0079134310,0.0087348090,0.0095047884,0.0101180164,0.0065748836,0.0050116142,0.0059826560,0.0098335107,0.0006880820,0.0040635921,0.0076641788,0.0069256222
2005-02-14,-0.0016359334,0.0012373348,0.0019822427,0.0006678023,-0.0009801132,-0.0014667911,0.0004244116,0.0010079568,0.0089379561,0.0019398211,0.0034231196,0.0006968935
2005-02-15,0.0022932324,0.0022237565,0.0049453409,-0.0003332203,0.0032694067,0.0079324235,0.0016987677,0.0053665772,-0.0017038617,0.0030288884,0.0011368420,0.0032997665
2005-02-16,-0.0068647819,0.0281063231,-0.0034451020,-0.0013355246,0.0029319534,-0.0017492821,0.0025435473,0.0126796049,0.0027305187,0.0051185186,-0.0024614659,0.0001817759
2005-02-17,-0.0088872159,-0.0134290640,-0.0162962246,-0.0013368519,-0.0090967346,-0.0049635458,-0.0063424179,-0.0036238216,-0.0020423973,-0.0005847620,-0.0037943194,-0.0079233654
2005-02-18,-0.0106277733,0.0221194833,-0.0020078033,0.0150602908,0.0000000000,-0.0020542268,-0.0012758279,0.0112432886,-0.0105731776,-0.0102729239,-0.0026668876,0.0006995343
2005-02-22,-0.0147701925,-0.0071342251,-0.0055331314,-0.0118695654,-0.0160652171,-0.0196995304,-0.0149132667,-0.0150427396,-0.0237843602,-0.0269198899,-0.0066847011,-0.0145057234
2005-02-23,0.0091994698,0.0126947320,-0.0030352478,0.0046712215,0.0013328083,0.0062983448,0.0025948207,0.0152724795,0.0052963673,0.0006072436,0.0074985021,0.0056073626
2005-02-24,0.0013510269,0.0196306776,0.0086253452,0.0076389180,0.0143098102,0.0008945657,0.0047455668,0.0107907881,0.0077275748,-0.0032935078,0.0007638999,0.0078937705
2005-02-25,0.0101141968,0.0245885844,0.0065390527,0.0082399539,0.0082017421,0.0047644841,0.0034353197,0.0155298504,0.0195189740,0.0195651998,0.0041947295,0.0093068192
2005-02-28,-0.0096800991,-0.0072448798,-0.0029980344,-0.0150378322,-0.0058577666,-0.0041492655,-0.0021397063,-0.0095576295,-0.0068379985,-0.0067382362,0.0034182260,-0.0064142414
2005-03-01,0.0097747193,-0.0193840461,0.0120295099,0.0079657536,0.0032736880,0.0113093965,0.0081476181,0.0012864324,0.0027538118,0.0085867628,0.0088952232,0.0056580747
2005-03-02,-0.0030040338,0.0146512325,-0.0024763765,0.0009879406,0.0029362475,0.0005885134,-0.0025519888,-0.0028907787,-0.0010295183,-0.0039163761,-0.0063780594,-0.0002726994
2005-03-03,-0.0016743320,0.0165022887,-0.0074476344,-0.0009869656,0.0022775382,-0.0011766268,0.0068226202,-0.0009669424,0.0051547465,0.0017950625,0.0050969316,0.0003223049
2005-03-04,0.0127429021,0.0128522637,0.0065031319,0.0092190316,0.0139562640,0.0085396788,0.0050826438,0.0312805254,0.0157265853,0.0208174540,0.0018785408,0.0096243812
2005-03-07,0.0000000000,-0.0069013189,0.0074552226,0.0022843761,0.0048017502,0.0008759198,-0.0029492732,-0.0109444269,0.0070680167,0.0096114188,-0.0014999695,0.0026102703
2005-03-08,-0.0016549027,-0.0011211178,-0.0083863749,-0.0065106366,-0.0006374718,-0.0052507747,-0.0046501342,-0.0025294214,-0.0066841433,-0.0099340797,-0.0050691798,-0.0047987894
2005-03-09,-0.0122723944,-0.0276028118,-0.0019905658,-0.0062251879,-0.0108382738,-0.0111433512,-0.0072180275,0.0022190854,-0.0178330916,-0.0292638007,-0.0081149886,-0.0101851221
2005-03-10,0.0057086391,-0.0203096172,0.0044864017,0.0036266231,0.0022561603,0.0017787106,0.0021385772,-0.0126503339,0.0065088799,0.0077514590,0.0011414998,0.0018558174
2005-03-11,-0.0086811526,0.0082450833,-0.0129034883,-0.0078845398,-0.0025731118,-0.0011839223,-0.0076826050,0.0060855729,-0.0044247304,-0.0144440475,0.0017104695,-0.0075832491
2005-03-14,0.0053893018,0.0072429981,0.0040227924,0.0016561401,0.0054807911,0.0014815649,0.0030107349,-0.0003181621,0.0153843889,0.0157831442,-0.0024659247,0.0056246252
2005-03-15,-0.0067001234,-0.0139179407,-0.0100150015,-0.0115703642,-0.0054509158,0.0011844544,-0.0060036812,-0.0047768588,-0.0043769902,-0.0022194273,-0.0091294396,-0.0075238073
2005-03-16,-0.0101184025,0.0032936259,-0.0101163794,-0.0096991398,-0.0116044424,-0.0059121076,-0.0025881050,-0.0214400218,-0.0091309582,-0.0124067243,-0.0072934454,-0.0080818649
2005-03-17,-0.0027254366,0.0173502865,-0.0005108642,0.0033771663,-0.0003266517,0.0008919942,0.0034602900,0.0117724749,0.0058020376,0.0106564590,-0.0071537491,0.0018012531
2005-03-18,-0.0049800564,0.0123482175,-0.0056241618,-0.0009792122,0.0012114450,-0.0057120456,-0.0032036383,-0.0001301034,-0.0030086728,-0.0066868181,-0.0062319235,-0.0004704519
2005-03-21,-0.0089753421,-0.0086795832,0.0000000000,-0.0040573831,0.0032699770,-0.0047878168,-0.0056441832,-0.0058385842,-0.0003429063,-0.0075080225,0.0000000000,-0.0049342201
2005-03-22,-0.0184602957,-0.0119815929,-0.0087406456,0.0003396939,-0.0055409727,-0.0084183726,-0.0056770912,-0.0032621135,-0.0202399756,-0.0173913289,-0.0035272918,-0.0101962088
2005-03-23,0.0021291615,-0.0191234620,0.0041496817,0.0108584375,-0.0062277537,-0.0033352902,0.0065878507,-0.0098205543,-0.0049021663,-0.0053101173,0.0019669523,0.0006998902
2005-03-24,-0.0049577636,-0.0007133309,0.0005169849,0.0003358390,0.0049475930,0.0015211761,-0.0004360451,0.0000000000,0.0105562320,0.0027001072,-0.0003934718,-0.0009466584
2005-03-28,0.0071175615,0.0011898168,0.0010322135,-0.0006710854,-0.0009847781,0.0069863751,0.0008726882,-0.0056197961,0.0017407296,-0.0005383902,-0.0029446688,0.0024414687
2005-03-29,-0.0035335982,-0.0161594023,-0.0077363492,-0.0033579557,-0.0164254595,-0.0126694605,-0.0021806511,-0.0222734205,-0.0125125192,-0.0014369481,-0.0015754693,-0.0075961813
2005-03-30,0.0124115146,0.0149752433,0.0150728653,0.0158352812,0.0190379026,0.0161928770,0.0131117020,0.0170007299,0.0161910698,0.0128608393,0.0069035692,0.0137726102
2005-03-31,-0.0056047265,0.0202290377,0.0015366891,-0.0096184147,-0.0026220398,-0.0030064551,-0.0069016937,0.0083586234,0.0096985076,-0.0037293342,0.0062680725,-0.0006941437
2005-04-01,-0.0137368706,0.0247256829,-0.0086914868,-0.0087072217,-0.0095302218,-0.0078404297,-0.0095573763,-0.0029843944,0.0034305791,0.0026735828,-0.0066185779,-0.0064966856
2005-04-04,0.0071428526,-0.0086504244,0.0036102749,0.0050672403,-0.0009951817,0.0027349257,0.0057016993,-0.0059856461,0.0027350804,-0.0048889125,0.0072507152,0.0027281921
2005-04-05,0.0028371448,-0.0126288542,0.0020553917,0.0201686106,0.0049820978,0.0060622728,0.0074136633,0.0020072976,0.0057958892,0.0004471306,0.0105055839,0.0044808519
2005-04-06,0.0067182280,0.0158138281,-0.0015386693,0.0006590140,0.0003300972,-0.0042178408,-0.0025972509,0.0050084951,-0.0030507223,0.0087500701,0.0021181375,0.0022684563
2005-04-07,0.0038640384,-0.0038918109,0.0133541485,0.0102073144,0.0082587576,0.0045386750,0.0069446387,0.0109627085,0.0091807114,0.0037174497,0.0032656484,0.0059709888
2005-04-08,-0.0090971306,-0.0181563662,-0.0070959934,-0.0071707357,-0.0101575327,-0.0078314323,-0.0047412560,-0.0144592055,-0.0077493321,-0.0163142403,-0.0061274069,-0.0083450000
2005-04-11,0.0021180654,0.0074900782,-0.0056152330,-0.0009850859,0.0019866025,-0.0054647184,0.0025978710,-0.0033340049,0.0098469637,0.0121023325,-0.0011562483,0.0000084742
2005-04-12,0.0137420241,-0.0157995401,0.0061599107,0.0065725465,0.0079285807,0.0094630552,0.0038884313,-0.0010044610,0.0094153930,0.0187774935,-0.0057870017,0.0055452028
2005-04-13,-0.0145981160,-0.0245512023,-0.0142858078,0.0045704821,-0.0173716331,-0.0151194663,-0.0047334518,-0.0277957737,-0.0069953316,-0.0019998161,0.0126116231,-0.0117616106
2005-04-14,-0.0112872656,-0.0004839860,-0.0139747944,-0.0039001135,-0.0150095861,-0.0138165384,-0.0021617953,-0.0279022437,-0.0093930138,-0.0060108976,-0.0111133024,-0.0100017804
2005-04-15,-0.0107029668,-0.0380148134,-0.0304456705,0.0048943638,-0.0196412596,-0.0202360441,-0.0095320315,-0.0248050506,-0.0176097862,-0.0047324997,-0.0186010024,-0.0167204964
2005-04-18,0.0082943198,0.0181223764,0.0010827131,-0.0068182385,0.0031087600,0.0019063969,-0.0065619126,0.0159879123,0.0037921568,0.0038750845,-0.0021719047,0.0029405974
2005-04-19,0.0014302673,0.0234864331,0.0124392172,-0.0006534860,0.0044766566,0.0012681720,0.0026419999,0.0121603632,0.0140798995,0.0087707665,-0.0001979734,0.0059338286
2005-04-20,-0.0124998478,-0.0205321414,-0.0090814893,-0.0124305279,-0.0102844114,-0.0164712489,-0.0127355435,-0.0166075136,-0.0088048596,-0.0052164053,-0.0085095823,-0.0132549393
2005-04-21,0.0057870940,0.0345251177,0.0269539920,0.0135803429,0.0266708225,0.0247989571,0.0169036330,0.0186848020,0.0088830738,0.0048078563,0.0111774876,0.0197362208
2005-04-22,-0.0025173705,0.0021459389,-0.0120735549,-0.0035945630,-0.0118079838,-0.0150847519,-0.0104989440,-0.0095239431,0.0064341890,-0.0001747705,-0.0053293425,-0.0067502534
2005-04-25,0.0126167428,0.0140341841,0.0069081493,0.0022956442,0.0119490783,0.0089338725,0.0106103414,0.0099718152,0.0067290338,0.0162712958,0.0093269929,0.0086622752
2005-04-26,-0.0056958718,-0.0164201162,-0.0068607542,-0.0062170312,-0.0128200499,-0.0069572538,-0.0074368731,-0.0190410595,-0.0127003160,-0.0006850547,-0.0043253400,-0.0088374664
2005-04-27,0.0139638786,-0.0257572740,0.0037196199,0.0075729944,0.0013670759,0.0012738965,0.0035258450,-0.0097054931,0.0074475646,0.0080534678,0.0047391754,0.0039502783
2005-04-28,-0.0109463889,-0.0200738725,-0.0100582727,-0.0049019126,-0.0109216762,-0.0146312898,-0.0021955369,-0.0079849788,-0.0043683064,-0.0048444138,0.0000000000,-0.0113803716
2005-04-29,0.0153514494,0.0129902065,0.0090912725,0.0147781791,0.0117321232,0.0022594425,0.0026406900,0.0248807879,0.0141745508,0.0121274653,-0.0005896546,0.0119224692
2005-05-02,0.0024610394,0.0180027118,-0.0010600264,0.0042073916,0.0054572120,0.0051531058,0.0074628449,0.0082115687,0.0026625305,-0.0011818594,-0.0094397435,0.0045901013
2005-05-03,0.0010527621,-0.0234979754,0.0068957645,-0.0006448367,-0.0071233944,0.0038447175,0.0043571391,0.0063734169,-0.0049785282,0.0049001842,0.0001984617,-0.0008518536
2005-05-04,0.0192706602,0.0116593854,0.0068501141,0.0099972722,0.0116157848,0.0213852716,0.0065077515,0.0154824708,0.0010003179,0.0029422002,0.0067490581,0.0124701636
2005-05-05,-0.0044689152,0.0107894613,-0.0015697447,-0.0003195203,-0.0050661309,-0.0059370698,-0.0017242037,-0.0058910942,-0.0039983942,0.0060358117,0.0000000000,-0.0025688083
2005-05-06,-0.0072504890,-0.0029104529,0.0026203109,-0.0044715684,0.0040731931,0.0000000000,-0.0038861051,0.0024403996,-0.0023418537,-0.0065823412,0.0013798835,-0.0010915884
2005-05-09,0.0086952192,0.0133819178,0.0041816317,0.0073787181,0.0067616304,0.0056582963,0.0060686118,-0.0013912699,0.0083835855,0.0166055139,0.0000000000,0.0063943231
2005-05-10,-0.0131037269,-0.0168068864,-0.0104113569,-0.0063693363,-0.0117526624,-0.0121910901,-0.0056011227,-0.0149717586,-0.0073161665,-0.0017318777,-0.0043314801,-0.0107054354
2005-05-11,0.0045429929,0.0061050422,0.0047347299,0.0041669359,0.0071352059,-0.0003164781,0.0034662652,0.0010607344,0.0046902484,0.0029751317,-0.0013839767,0.0041930466
2005-05-12,-0.0093915131,-0.0436893393,0.0010473272,-0.0012763637,-0.0107960139,-0.0050650171,-0.0047496601,-0.0271897393,-0.0113370696,-0.0087342601,-0.0049511020,-0.0100332165
2005-05-13,-0.0087785365,-0.0152284629,0.0125519752,-0.0067118119,-0.0051158503,-0.0006363799,-0.0086765456,-0.0196008953,-0.0161888241,-0.0099748792,-0.0083575848,-0.0045800585
2005-05-16,0.0177121821,-0.0043815667,0.0092981349,0.0119049191,0.0140550785,0.0124162827,0.0096277574,0.0044428881,0.0065133246,0.0120903731,0.0042141326,0.0100861246
2005-05-17,0.0062650768,0.0178619244,0.0035815385,-0.0006357902,0.0067616304,0.0084909361,0.0052021198,0.0140071381,0.0115802045,0.0059737209,0.0081933069,0.0069573453
2005-05-18,0.0117598855,-0.0020339701,0.0142783313,0.0022268991,0.0151111546,0.0196444483,0.0094862391,0.0254449056,0.0003369382,0.0115452786,0.0166503969,0.0100187504
2005-05-19,0.0010258216,0.0180931678,0.0055314179,-0.0003174340,0.0013231156,0.0079511785,0.0059799057,-0.0049628776,0.0057220911,0.0165497920,0.0083836054,0.0046559408
2005-05-20,-0.0010247704,-0.0075094484,0.0014992675,-0.0006350696,-0.0003299883,-0.0027306252,-0.0012732119,-0.0064123437,-0.0003345110,-0.0003213146,-0.0001933982,-0.0015111721
2005-05-23,0.0013680484,0.0166455578,0.0034954175,0.0019065933,0.0069394917,0.0063888793,0.0017005333,0.0078882877,-0.0036829062,0.0003214178,0.0009670614,0.0038510325
2005-05-24,-0.0034143460,0.0042176085,0.0049746168,0.0012684409,-0.0026256690,-0.0018142880,-0.0016976464,-0.0032020402,0.0000000000,-0.0111477573,-0.0042504224,0.0001758673
2005-05-25,-0.0034259822,0.0153162832,-0.0044554311,-0.0063353834,-0.0085554902,-0.0030280071,-0.0034016315,-0.0103492525,0.0026883420,-0.0118410040,0.0000000000,-0.0034000827
2005-05-26,0.0065314725,0.0051092661,0.0114370313,0.0038256926,0.0073019057,0.0051641734,0.0008533814,0.0075726803,0.0026805374,-0.0037754147,0.0093131914,0.0063948919
2005-05-27,0.0017079098,0.0167032080,-0.0014748807,-0.0031753478,-0.0006593653,0.0000000000,-0.0029838279,0.0032211976,0.0040110160,0.0051079309,0.0055745781,0.0009686162
2005-05-31,-0.0017049978,-0.0076193140,-0.0064004876,-0.0031856371,-0.0026372252,-0.0036266544,-0.0034203960,-0.0071350285,-0.0003326635,0.0077868891,0.0005736508,-0.0060728650
2005-06-01,0.0078560420,0.0189538760,0.0099106580,0.0025559898,0.0036360442,0.0042462089,0.0068648407,0.0150913779,0.0129870233,0.0138262731,-0.0007643138,0.0089970379
2005-06-02,-0.0027116834,-0.0018839344,0.0044156513,0.0000000000,0.0000000000,0.0051345396,0.0025558788,-0.0031859576,-0.0013151373,-0.0028074623,0.0084134207,0.0017218715
2005-06-03,-0.0050969435,0.0056618932,-0.0107472480,-0.0035065069,-0.0046113117,-0.0072114523,-0.0080746652,-0.0021302933,0.0032915540,-0.0033792328,0.0007576005,-0.0068671327
2005-06-06,0.0023909267,0.0030498522,-0.0014810051,0.0003199587,0.0006622019,0.0015133490,0.0004277715,-0.0028473547,-0.0009846226,0.0098483250,-0.0022733697,0.0012457904
2005-06-07,-0.0006813877,-0.0095885238,-0.0039568273,0.0003201188,0.0042986325,0.0015106124,0.0038546990,0.0060669451,0.0022996304,0.0071945234,-0.0020891771,-0.0002087665
2005-06-08,0.0006818523,0.0028333715,0.0019863658,-0.0070331891,-0.0062564629,-0.0042242033,-0.0025595064,-0.0067399526,0.0019658206,0.0052375055,-0.0007604553,-0.0021632442
2005-06-09,0.0030665504,0.0289614244,0.0049550820,0.0041853641,0.0003319181,0.0039392967,0.0004276080,-0.0042855835,0.0009807554,0.0011056182,-0.0013329599,0.0052399487
2005-06-10,-0.0030571754,-0.0011437076,-0.0054243665,-0.0022441228,-0.0013254357,0.0000000000,-0.0008548505,0.0089674521,0.0035940018,-0.0009458300,0.0062930158,-0.0023482370
2005-06-13,0.0000000000,0.0038944045,0.0039665153,0.0041772942,0.0016589699,0.0015090884,0.0034231803,0.0063986634,0.0042316018,0.0056836609,0.0064424101,0.0022618632
2005-06-14,0.0027256120,0.0061615651,-0.0059259278,0.0086397199,-0.0023182954,0.0105484492,-0.0017060344,0.0017663559,0.0025937410,0.0075346764,0.0043308329,0.0025733149
2005-06-15,0.0023788012,0.0120206776,0.0059612538,-0.0038073121,0.0009956068,0.0000000000,0.0004275568,0.0095205832,-0.0048505871,-0.0026484777,-0.0007497583,0.0022177088
2005-06-16,0.0050847869,0.0141197953,0.0019756374,0.0063696848,0.0009950897,0.0020878310,-0.0029896325,0.0104787217,-0.0016246147,0.0042183046,0.0054408177,0.0036300992
2005-06-17,0.0052587243,0.0162044655,0.0004926131,0.0049519698,0.0081350615,0.0041430386,0.0026683915,0.0003811742,0.0127626127,0.0118234176,0.0027994070,0.0049547468
2005-06-20,-0.0023627617,0.0010907208,-0.0014777254,-0.0012634438,-0.0036225918,0.0005935595,-0.0004293594,-0.0104167486,0.0019441891,-0.0018170513,0.0011159850,-0.0007066669
2005-06-21,0.0037212480,-0.0211372947,0.0044401059,-0.0015813458,-0.0003306094,0.0005932074,-0.0021465833,-0.0052627759,0.0012922360,-0.0112013521,-0.0024165258,-0.0020475210
2005-06-22,-0.0013478746,0.0057884064,0.0019645347,-0.0034839006,-0.0049606875,-0.0002959872,0.0008605089,-0.0010580173,0.0090412668,0.0006297451,0.0031676405,0.0002224928
2005-06-23,-0.0091124347,0.0008849834,-0.0078424872,-0.0066757229,-0.0202725281,-0.0174975080,-0.0124675037,-0.0236583453,0.0028797230,-0.0039315110,-0.0105866032,-0.0108330513
2005-06-24,-0.0017027995,-0.0061915656,-0.0123522089,-0.0048002078,-0.0064450737,-0.0087532148,-0.0100131781,-0.0112117014,-0.0070189287,-0.0083654280,-0.0050686798,-0.0076287211
2005-06-27,-0.0003420656,0.0153535820,-0.0080044588,-0.0041802637,-0.0013658794,-0.0045680515,-0.0008796475,-0.0025603487,0.0061050458,0.0042974828,0.0013212063,-0.0007385256
2005-06-28,0.0075090897,-0.0186279663,0.0126074228,0.0100104236,0.0174358856,0.0140721438,0.0127644813,0.0157686079,0.0099003558,0.0049134010,0.0071601327,0.0091375634
2005-06-29,0.0047425288,-0.0008934337,0.0014939776,-0.0012788796,-0.0063843406,-0.0060336282,-0.0026077609,-0.0043323578,-0.0028458409,0.0028394653,0.0000000000,-0.0014314362
2005-06-30,-0.0064059605,-0.0064825440,-0.0094480739,-0.0067223010,-0.0064256511,-0.0051590917,-0.0087150475,-0.0159534470,0.0009511549,0.0003148374,0.0072961422,-0.0071009040
2005-07-01,0.0010178421,0.0222728440,0.0025103170,-0.0012891836,0.0034040941,0.0024408293,0.0035166814,-0.0007369029,0.0091892434,0.0086475973,0.0040863290,0.0026105155
2005-07-05,0.0081359083,0.0299295565,0.0065100192,0.0035493691,0.0030527212,0.0094337610,0.0056938301,0.0025812290,0.0018837517,0.0107555178,-0.0049943866,0.0088326323
2005-07-06,-0.0073975688,-0.0179488679,-0.0024878973,-0.0064306217,-0.0111595661,-0.0090443139,-0.0095812531,-0.0033101311,-0.0169223806,-0.0037008072,0.0083657595,-0.0083403588
2005-07-07,0.0020319946,0.0128371738,0.0019950333,-0.0003236739,0.0023936211,0.0030424374,-0.0017595857,0.0022139716,0.0079687190,0.0038698335,-0.0038717805,0.0024520510
2005-07-08,0.0101420826,-0.0066588309,0.0179187433,0.0119781342,0.0174004826,0.0154682543,0.0132168782,0.0195140467,0.0117015615,0.0138777464,0.0086990837,0.0116790556
2005-07-11,0.0043514629,0.0073527820,0.0102691838,0.0031991144,0.0016767889,0.0053764320,0.0056515979,0.0137228342,0.0056268323,0.0124717980,0.0084400859,0.0062548117
2005-07-12,0.0000000000,0.0090161817,0.0053246572,-0.0006377651,-0.0053569521,0.0065361522,0.0008644583,-0.0024936561,0.0027974911,0.0016527614,0.0041851631,0.0022715506
2005-07-13,0.0043314806,-0.0057440653,0.0043338180,-0.0054247678,0.0030298559,-0.0026569159,0.0038879880,-0.0032141597,0.0027900520,-0.0086987331,-0.0012683415,0.0008837091
2005-07-14,0.0049771449,-0.0239674655,0.0086282032,0.0060960094,0.0090599135,0.0053271080,0.0055938767,0.0014331457,-0.0098918222,-0.0166411340,0.0034465906,0.0026240391
2005-07-15,0.0026408051,-0.0052619805,-0.0004754086,0.0047832820,-0.0013302600,0.0041216187,-0.0004282147,-0.0017893546,-0.0003119186,0.0046152607,-0.0025308529,0.0011578018
2005-07-18,-0.0105363378,-0.0041878730,-0.0057065504,-0.0060302290,-0.0019980005,0.0008793764,-0.0047086999,-0.0021495161,-0.0006244609,0.0041345213,-0.0034440147,-0.0055297078
2005-07-19,-0.0003330486,0.0214693766,0.0148257259,0.0003190722,0.0083418903,0.0061506618,-0.0017202065,0.0161633654,0.0009370620,0.0067106300,0.0018187591,0.0067314460
2005-07-20,0.0036616680,0.0010833184,-0.0032986929,0.0143634198,0.0115816913,0.0037849464,0.0038773655,0.0155532732,0.0053076409,0.0096955990,-0.0025416401,0.0047585925
2005-07-21,-0.0053063734,-0.0097400698,-0.0066188672,-0.0106985526,-0.0052338225,-0.0023197685,-0.0038623896,-0.0048731595,-0.0180127697,-0.0163536682,-0.0007286929,-0.0066061467
2005-07-22,0.0053346812,0.0358468189,-0.0023801992,-0.0012726321,0.0029597371,0.0049414831,0.0030157446,0.0062958713,0.0056928612,0.0096088901,0.0001829662,0.0054114083
2005-07-25,-0.0039797800,0.0092848917,-0.0052484444,-0.0060505770,-0.0072132307,-0.0078101525,-0.0034366184,-0.0083418351,0.0003142363,0.0024174773,0.0034601018,-0.0037692304
2005-07-26,0.0013315377,-0.0023000694,0.0076746022,0.0048064474,0.0049536656,0.0081634218,0.0051725261,-0.0140203287,0.0034583520,0.0090431406,-0.0007260288,0.0017330780
2005-07-27,0.0013305973,0.0050293177,0.0066629685,0.0092472032,0.0039434730,0.0026022725,0.0025730961,0.0106644212,0.0043861513,0.0013439042,0.0125316970,0.0045729269
2005-07-28,0.0029886219,0.0029192088,0.0004731718,0.0094785660,0.0055646117,0.0100957542,0.0085544087,0.0112561014,0.0062377974,0.0135734847,0.0150674351,0.0056031593
2005-07-29,-0.0089402129,-0.0103948713,-0.0051990127,-0.0068854430,-0.0071612046,-0.0108512327,-0.0042414165,-0.0038259474,0.0003101207,-0.0022074179,-0.0031811602,-0.0076704702
